0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:17:08 +0530] "GET /project_3/ctl/GetMarksheetCtl HTTP/1.1" 200 10704
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:17:11 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15048
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:17:11 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 938
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:17:24 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:27:25 +0530] "GET /project_3/ HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:27:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:27:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:27:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:28:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:28:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:28:26 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9540
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:28:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:28:54 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9555
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:28:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:29:56 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9536
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:29:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9536
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9536
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:16 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15816
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:17 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:17 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
